antecedents,consequents,support,confidence,lift
"frozenset({'molho de tomate', 'detergente', 'vinho'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'detergente', 'agua mineral'})",frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'agua mineral', 'acucar'})",0.14285714285714285,1.0,7.0
"frozenset({'agua mineral', 'acucar'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'acucar'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'agua mineral'})",frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),"frozenset({'detergente', 'agua mineral'})",0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'detergente', 'acucar'})",0.14285714285714285,1.0,7.0
frozenset({'detergente'}),"frozenset({'agua mineral', 'acucar'})",0.14285714285714285,1.0,7.0
"frozenset({'agua mineral', 'acucar'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'acucar'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'agua mineral'})",frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),frozenset({'detergente'}),0.14285714285714285,1.0,7.0
frozenset({'detergente'}),frozenset({'acucar'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'acucar'})",frozenset({'vinho'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'vinho'})",frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),"frozenset({'molho de tomate', 'detergente'})",0.14285714285714285,1.0,7.0
frozenset({'detergente'}),"frozenset({'molho de tomate', 'acucar'})",0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'detergente', 'acucar'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'acucar'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'acucar'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'detergente'})",frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),"frozenset({'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'acucar', 'vinho'})",0.14285714285714285,1.0,7.0
